124;Placeholder;25.08;190
125;Placeholder;150.46;127
126;Placeholder;403.59;179
127;Placeholder;25.86;244
128;Placeholder;537.93;272
129;Placeholder;283.50;119
130;Placeholder;25.26;101
131;Placeholder;418.12;182
132;Placeholder;289.55;102
133;Placeholder;291.07;220
134;Placeholder;293.68;86
135;Placeholder;295.04;217
136;Placeholder;433.84;79
137;Placeholder;573.09;209
138;Placeholder;163.89;208
139;Placeholder;581.33;126
140;Placeholder;445.86;130
141;Placeholder;448.79;226
142;Placeholder;167.89;205
143;Placeholder;168.21;220
144;Placeholder;25.25;165
145;Placeholder;170.34;181
146;Placeholder;609.42;139
147;Placeholder;319.86;242
148;Placeholder;469.27;256
149;Placeholder;323.43;96
150;Placeholder;175.68;85
151;Placeholder;25.14;193
152;Placeholder;329.05;195
153;Placeholder;25.31;157
154;Placeholder;179.93;129
155;Placeholder;25.95;176
156;Placeholder;337.86;149
157;Placeholder;496.23;254
158;Placeholder;183.48;257
159;Placeholder;661.50;106
160;Placeholder;505.83;245
161;Placeholder;186.74;99
162;Placeholder;187.86;177
163;Placeholder;188.78;256
164;Placeholder;517.55;229
165;Placeholder;685.87;159
166;Placeholder;357.80;88
167;Placeholder;693.20;220
168;Placeholder;361.18;88
169;Placeholder;25.63;125
170;Placeholder;195.91;183
171;Placeholder;367.90;165
172;Placeholder;25.38;123
173;Placeholder;371.24;187
174;Placeholder;199.74;252
175;Placeholder;550.61;257
176;Placeholder;377.18;257
177;Placeholder;25.39;216
178;Placeholder;737.12;202
179;Placeholder;204.67;94
180;Placeholder;565.00;114
181;Placeholder;568.79;273
182;Placeholder;25.19;187
183;Placeholder;391.77;228
184;Placeholder;577.35;75
185;Placeholder;580.88;136
186;Placeholder;211.83;110
187;Placeholder;212.05;173
188;Placeholder;401.79;201
189;Placeholder;214.57;227
190;Placeholder;405.38;131
191;Placeholder;789.56;234
192;Placeholder;793.87;110
193;Placeholder;218.71;262
194;Placeholder;413.84;218
195;Placeholder;610.33;134
196;Placeholder;417.56;244
197;Placeholder;419.83;159
198;Placeholder;223.37;127
199;Placeholder;821.33;159
200;Placeholder;25.42;257
201;Placeholder;26.51;127
202;Placeholder;29.55;210
203;Placeholder;25.44;152
204;Placeholder;25.41;168
205;Placeholder;25.74;82
206;Placeholder;43.04;76
207;Placeholder;32.48;233
208;Placeholder;33.46;141
209;Placeholder;34.10;78
210;Placeholder;65.11;264
211;Placeholder;36.49;136
212;Placeholder;61.03;193
213;Placeholder;77.94;147
214;Placeholder;81.01;201
215;Placeholder;70.61;204
216;Placeholder;57.14;219
217;Placeholder;93.47;80
218;Placeholder;25.14;187
219;Placeholder;63.45;113
220;Placeholder;25.51;161
221;Placeholder;46.18;186
222;Placeholder;113.53;248
223;Placeholder;94.45;180
224;Placeholder;73.64;119
225;Placeholder;25.99;160
226;Placeholder;25.83;259
227;Placeholder;106.72;85
228;Placeholder;81.02;274
229;Placeholder;54.62;174
230;Placeholder;115.84;123
231;Placeholder;87.10;151
232;Placeholder;121.45;109
233;Placeholder;91.95;83
234;Placeholder;127.04;100
235;Placeholder;95.15;253
236;Placeholder;25.05;197
237;Placeholder;62.30;236
238;Placeholder;63.87;225
239;Placeholder;103.26;82
240;Placeholder;145.04;111
241;Placeholder;66.88;201
242;Placeholder;193.76;211
243;Placeholder;154.23;260
244;Placeholder;201.23;119
245;Placeholder;205.78;216
246;Placeholder;117.48;128
247;Placeholder;72.01;201
248;Placeholder;121.84;87
249;Placeholder;123.11;202
250;Placeholder;25.80;182
251;Placeholder;178.41;164
252;Placeholder;129.18;158
253;Placeholder;184.11;138
254;Placeholder;79.17;157
255;Placeholder;245.01;261
256;Placeholder;193.66;234
257;Placeholder;25.42;259
258;Placeholder;141.06;147
259;Placeholder;202.08;246
260;Placeholder;85.63;205
261;Placeholder;147.59;223
262;Placeholder;273.01;224
263;Placeholder;25.92;193
264;Placeholder;281.25;239
265;Placeholder;25.54;87
266;Placeholder;223.50;166
267;Placeholder;226.17;247
268;Placeholder;297.34;89
269;Placeholder;25.44;194
270;Placeholder;25.70;119
271;Placeholder;309.20;251
272;Placeholder;25.81;213
273;Placeholder;98.31;193
274;Placeholder;247.97;225
275;Placeholder;250.03;101
276;Placeholder;101.78;115
277;Placeholder;25.23;119
278;Placeholder;259.87;189
279;Placeholder;341.60;137
280;Placeholder;265.00;190
281;Placeholder;106.39;105
282;Placeholder;189.72;223
283;Placeholder;274.63;123
284;Placeholder;361.77;172
285;Placeholder;365.30;200
286;Placeholder;283.76;243
287;Placeholder;112.33;159
288;Placeholder;377.91;132
289;Placeholder;25.60;235
290;Placeholder;295.48;237
291;Placeholder;207.72;219
292;Placeholder;209.41;127
293;Placeholder;397.54;261
294;Placeholder;25.11;238
295;Placeholder;310.32;272
296;Placeholder;409.25;174
297;Placeholder;25.44;136
298;Placeholder;417.53;129
299;Placeholder;25.90;167
300;Placeholder;425.49;119
301;Placeholder;429.51;179
302;Placeholder;127.20;121
303;Placeholder;231.35;236
304;Placeholder;233.82;239
305;Placeholder;340.55;180
306;Placeholder;237.09;137
307;Placeholder;346.74;149
308;Placeholder;349.25;161
309;Placeholder;25.45;136
