124;12615;31/12/9999;81977.73;8
6561;36;24084.72
9901;53;12031.53
29190;21;4525.08
17884;88;2251.04
27016;31;2776.67
45434;24;1419.12
11772;97;19139.07
31546;34;15750.50
125;23743;31/12/9999;147639.72;7
32462;83;7261.67
2491;99;2501.73
5543;119;54047.42
1866;80;17876.00
681;24;2551.44
1904;112;49479.36
32999;62;13922.10
126;32486;31/12/9999;84017.79;8
43929;96;27250.56
24819;79;2024.77
40254;26;658.06
11344;66;20682.42
23008;70;1780.80
9650;102;2635.68
26222;57;6466.08
41489;77;22519.42
127;15114;31/12/9999;45241.47;9
42478;27;6993.00
31254;71;1834.64
40650;29;5086.31
43359;44;8117.56
15009;58;2012.60
20798;85;2150.50
38555;66;11887.92
49100;112;2843.68
25205;106;4315.26
128;4656;31/12/9999;148936.62;10
14007;80;3152.00
29444;81;12765.60
31365;67;45953.29
17610;32;1455.04
3798;23;597.54
6281;112;30111.20
2528;65;9973.60
30549;102;32957.22
39248;70;8488.90
5029;31;3482.23
129;19081;31/12/9999;237134.57;10
41681;76;14231.00
39701;39;4947.54
10456;49;4016.04
48949;67;41610.35
41385;62;1579.76
12555;111;54425.52
5909;74;34181.34
36574;74;27622.72
6221;66;7242.18
5391;116;47278.12
130;26577;31/12/9999;82198.26;6
19816;54;3097.44
41508;20;506.00
20481;81;28313.55
32618;46;4481.32
42142;109;33697.35
37126;30;12102.60
131;33894;31/12/9999;46134.84;5
6347;37;6378.06
32473;72;17575.92
44464;61;1562.21
8007;35;1644.65
28877;106;18974.00
132;43671;31/12/9999;101090.70;6
24882;98;34594.98
38011;91;6289.92
17542;29;17219.04
27882;72;7723.44
36187;63;25186.77
24883;93;10076.55
133;27853;31/12/9999;77140.59;7
32550;23;10942.71
8465;94;20709.14
31857;24;1972.08
47952;35;11537.05
32322;24;9404.40
19438;72;12810.96
32235;75;9764.25
134;24840;31/12/9999;154824.02;9
23342;90;40662.90
14415;105;2637.60
20478;89;23135.55
8626;72;9331.20
10303;75;9619.50
36651;58;13301.72
23697;36;910.80
12290;115;33965.25
18929;75;21259.50
135;41988;31/12/9999;106745.30;6
5346;86;27310.16
4563;40;1026.40
21320;99;14425.29
17926;61;32297.06
12245;82;13122.46
18908;77;18563.93
136;32417;31/12/9999;149250.63;6
36868;99;22682.88
5209;108;5645.16
41183;69;39619.80
385;98;38733.52
20477;96;24612.48
11152;101;17956.79
137;50108;31/12/9999;67761.48;7
23301;66;8347.02
20795;21;12814.62
368;61;11812.04
6243;54;6041.52
39770;66;24101.88
35803;75;2557.50
27496;82;2086.90
138;27530;31/12/9999;89020.02;10
27964;78;14770.08
32104;111;14374.50
49820;79;2001.86
18464;62;13509.80
19935;52;1344.20
44066;55;12284.80
11637;114;15530.22
1096;22;6904.70
34452;90;2265.30
3513;24;6034.56
139;17029;31/12/9999;84392.64;5
17068;51;8216.10
24337;90;26958.60
28111;103;36961.55
47512;23;10891.19
31043;20;1365.20
140;39336;31/12/9999;102221.02;9
48577;80;58670.40
35099;56;12524.96
28808;78;1964.04
25280;45;8343.45
26050;53;1368.46
15231;66;5744.64
11784;32;6699.52
39448;59;4336.50
24432;99;2569.05
141;45314;31/12/9999;161572.27;9
32573;59;11732.15
34301;74;16857.94
40781;33;6807.90
5771;76;14937.80
46735;91;39179.14
3785;28;16263.24
23710;54;1374.30
31168;58;40432.96
33847;84;13986.84
142;24057;31/12/9999;332547.47;10
33294;103;41350.38
26971;106;57112.80
8269;74;1905.50
30153;83;40186.94
42193;114;46926.96
34762;20;502.60
34565;75;51380.25
24896;80;9688.80
40322;84;43139.04
15984;53;40354.20
143;45553;31/12/9999;120052.46;7
21334;43;24123.86
28432;106;16240.26
41078;33;11132.55
48879;97;10132.62
11622;73;3452.17
44352;110;52988.10
16697;79;1982.90
144;44942;31/12/9999;148760.86;9
25251;53;1348.32
11764;69;46997.28
866;116;18288.56
18523;60;1551.60
40972;93;18388.89
46840;97;17985.74
14717;116;30143.76
46505;21;4947.39
621;103;9109.32
145;7849;31/12/9999;173076.47;9
26663;62;17223.60
46763;21;10810.80
28347;95;44280.45
37439;106;10987.96
33183;111;43456.50
31823;30;2154.30
8481;85;29716.00
7893;31;12322.50
9213;84;2124.36
146;46151;31/12/9999;169901.41;11
4558;80;27335.20
26439;69;4421.52
24350;34;861.56
45736;47;7573.11
37327;109;30428.44
6599;66;41116.02
50242;96;2430.72
42204;99;4139.19
33923;63;17091.27
33712;106;14570.76
989;93;19933.62
147;44836;31/12/9999;137519.72;9
49050;76;5706.84
29859;72;6100.56
48924;98;2541.14
48378;34;25090.64
37816;45;3313.80
12685;118;33081.30
7357;85;28871.95
36284;108;29981.88
1453;111;2831.61
148;27971;31/12/9999;81122.44;7
36173;55;20457.80
40362;38;19454.48
39264;108;9664.92
35867;85;7840.40
29055;73;5907.16
40133;24;13383.60
22879;24;4414.08
149;25816;31/12/9999;109617.46;11
14817;102;9506.40
14732;93;14673.54
8607;36;914.04
13464;70;10737.30
25767;70;1792.70
30426;108;11148.84
32559;45;1155.15
18843;80;5474.40
18018;70;3039.40
7642;63;9567.81
22726;103;41607.88
150;37464;31/12/9999;90495.30;5
43509;58;20456.02
49184;70;40428.50
37036;36;4791.24
7006;45;1699.20
8790;57;23120.34
151;23783;31/12/9999;146181.24;8
39567;43;15461.51
23771;106;39004.82
26923;73;10833.20
32483;38;7258.00
31891;74;15349.08
17660;63;12933.27
50460;76;1931.16
26488;115;43410.20
152;38590;31/12/9999;97059.92;5
44265;101;28788.03
30997;31;12995.20
37933;99;15704.37
28045;88;10128.80
9333;101;29443.52
153;6607;31/12/9999;163759.81;9
44642;30;4539.30
40141;25;11200.25
954;28;17958.36
21274;91;29274.70
15992;109;2758.79
4060;76;11027.60
22371;102;72356.76
28732;43;1079.73
17153;28;13564.32
154;2258;31/12/9999;184329.23;11
38867;75;11994.00
44313;93;44377.74
41217;94;7208.86
11187;64;25565.44
49121;118;45846.54
32812;117;5777.46
3896;55;17221.05
30990;76;16376.48
8831;85;2188.75
8066;45;7100.55
45358;26;672.36
155;48885;31/12/9999;47182.25;7
27206;117;2926.17
35885;90;2304.00
13754;105;18801.30
45706;67;1689.07
41177;118;3064.46
18868;52;4868.24
31192;33;13529.01
156;1758;31/12/9999;68961.90;8
38259;48;9739.68
13041;91;2343.25
26819;104;4643.60
37416;82;3370.20
15593;28;16922.92
21033;27;4260.33
18168;92;17818.56
47977;26;9863.36
157;46199;31/12/9999;50962.77;7
9030;47;2630.59
11451;103;2675.94
22653;68;1759.16
43421;67;7341.19
24468;25;2336.25
41355;76;25501.04
44373;44;8718.60
158;30574;31/12/9999;84285.35;7
31848;23;2799.33
20743;48;1208.16
3121;72;19242.72
4192;76;31157.72
37215;22;1554.52
13368;30;20914.80
16880;70;7408.10
159;28650;31/12/9999;123265.89;8
8967;52;36044.32
50426;76;3904.88
32658;73;6100.61
42920;85;22551.35
7424;89;6519.25
23281;68;23756.48
2853;30;5529.30
49141;113;18859.70
160;695;31/12/9999;63259.58;8
43893;55;11652.85
46148;77;1997.38
48231;101;5671.15
40223;44;4171.64
7520;40;1026.40
40464;92;25913.64
2311;75;10274.25
16200;101;2552.27
161;20980;31/12/9999;216412.29;10
15398;40;8928.00
25282;68;7314.08
16989;47;10066.46
35180;54;20810.52
21715;83;40281.56
44954;27;9011.52
43651;69;5267.46
16638;23;1462.11
35597;105;85383.90
41977;38;27886.68
162;15915;31/12/9999;142255.23;7
1738;55;8967.20
25595;71;15622.13
45739;78;1976.52
47196;75;46037.25
9951;90;43070.40
29283;25;4786.25
25345;36;21795.48
163;3092;31/12/9999;88160.04;7
6042;94;14271.08
13661;98;20404.58
37629;88;7348.00
38508;43;19671.64
45776;107;21609.72
38432;29;2597.82
39371;90;2257.20
164;47328;31/12/9999;163541.88;9
173;63;23388.12
35569;68;36195.72
